OriginalRecipeName: aaa.rcp

TotalStep,RcpType,StepGrpBgn,StepGrpEnd,StepGrpCyc,IdleStopBegin,KeepLastCon,Thickness
L04-V101,0,0,1,0,0,0,0
L04-V102,0,0,1,0,0,0,0
L04-V103,0,0,0,0,0,0,0
L04-V104,0,0,0,0,0,0,0
L04-V105,0,0,1,0,0,0,0
L04-V106,0,0,0,0,0,0,0
L04-V107,0,0,0,0,0,0,0
L04-V108,0,0,0,0,0,0,0
L04-V109,0,0,1,0,0,0,0
L04-V110,0,0,1,0,0,0,0
L04-V111,0,0,0,0,0,0,0

L05-Time,0.00,0.00,0.00,0.00,0.00,0.00,0.00
L05-V01,0,0,0,0,0,0,0
L05-V02,0,0,0,0,0,0,0
L05-V03,0,0,0,0,0,0,0
L05-V04,0,0,0,0,0,0,0
L05-V05,0,0,0,0,0,0,0
L05-V06,0,0,0,0,0,0,0
L05-V07,0,0,0,0,0,0,0
L05-V08,0,0,0,0,0,0,0
L05-V09,0,0,0,0,0,0,0
L05-V10,0,0,0,0,0,0,0
L05-V11,0,0,0,0,0,0,0
L05-V12,0,0,0,0,0,0,0
L05-V13,0,0,0,0,0,0,0
L05-V14,0,0,0,0,0,0,0
L05-V15,0,0,0,0,0,0,0
L05-V16,0,0,0,0,0,0,0
L05-V17,0,0,0,0,0,0,0
L05-V18,0,0,0,0,0,0,0
L05-V19,0,0,0,0,0,0,0
L05-V20,0,0,0,0,0,0,0
L05-V21,0,0,0,0,0,0,0
L05-V22,0,0,0,0,0,0,0
L05-V23,0,0,0,0,0,0,0
L05-V24,0,0,0,0,0,0,0
L05-V25,0,0,0,0,0,0,0
L05-V26,0,0,0,0,0,0,0
L05-V27,0,0,0,0,0,0,0
L05-V28,0,0,0,0,0,0,0
L05-V29,0,0,0,0,0,0,0
L05-V30,0,0,0,0,0,0,0
L05-V31,0,0,0,0,0,0,0
L05-V32,0,0,0,0,0,0,0
L05-V33,0,0,0,0,0,0,0
L05-V34,0,0,0,0,0,0,0
L05-V35,0,0,0,0,0,0,0
L05-V36,0,0,0,0,0,0,0
L05-V37,0,0,0,0,0,0,0
L05-V38,0,0,0,0,0,0,0
L05-V39,0,0,0,0,0,0,0
L05-V40,0,0,0,0,0,0,0
L05-V41,0,0,0,0,0,0,0
L05-V42,0,0,0,0,0,0,0
L05-V43,0,0,0,0,0,0,0
L05-V44,0,0,0,0,0,0,0
L05-V45,0,0,0,0,0,0,0
L05-V46,0,0,0,0,0,0,0
L05-V47,0,0,0,0,0,0,0
L05-V48,0,0,0,0,0,0,0
L05-V49,0,0,0,0,0,0,0
L05-V50,0,0,0,0,0,0,0
L05-V51,0,0,0,0,0,0,0
L05-V52,0,0,0,0,0,0,0
L05-V53,0,0,0,0,0,0,0
L05-V54,0,0,0,0,0,0,0
L05-V55,0,0,0,0,0,0,0
L05-V56,0,0,0,0,0,0,0
L05-V57,0,0,0,0,0,0,0
L05-V58,0,0,0,0,0,0,0
L05-V59,0,0,0,0,0,0,0
L05-V60,0,0,0,0,0,0,0
L05-V61,0,0,0,0,0,0,0
L05-V62,0,0,0,0,0,0,0
L05-V63,0,0,0,0,0,0,0
L05-V64,0,0,0,0,0,0,0
L05-V65,0,0,0,0,0,0,0
L05-V66,0,0,0,0,0,0,0
L05-V67,0,0,0,0,0,0,0
